Source_plate,Source Well,Dest_plate,Destination Well,Volume,,,,,,DNA (ng/uL),,,,,,,,
Plasmid Mix,A1,YT Deepwell,A1,7,,1,,OPI1,A1,762,,7 uL,,,,,,
Plasmid Mix,A2,YT Deepwell,B1,7,,2,,RFX1,A2,647,,7 uL,,,,,,
Plasmid Mix,A3,YT Deepwell,C1,7,,3,,RGR1,A3,741,,7 uL,,,,,,
Plasmid Mix,A4,YT Deepwell,D1,7,,4,,RPD3,A4,799,,7 uL,,,,,,
Plasmid Mix,A5,YT Deepwell,E1,7,,5,,SPT3,A5,615,,7 uL,,,,,,
Plasmid Mix,A6,YT Deepwell,F1,7,,6,,YAP6,A6,796,,7 uL,,,,,,
Plasmid Mix,A7,YT Deepwell,G1,7,,7,,TFC7,A7,674,,7 uL,,,,,,
Plasmid Mix,A1,YT Deepwell,H1,7,,8,,,,,,,,,,,,
Plasmid Mix,A2,YT Deepwell,A2,7,,9,,,,,,,,,,,,
Plasmid Mix,A3,YT Deepwell,B2,7,,10,,,,,,,,,,,, 
Plasmid Mix,A4,YT Deepwell,C2,7,,11,,,,,, ,,,,,,
Plasmid Mix,A5,YT Deepwell,D2,7,,12,,,,,,,,,,,,
Plasmid Mix,A6,YT Deepwell,E2,7,,13,,,,,,,,,,,,
Plasmid Mix,A7,YT Deepwell,F2,7,,14,,,,,,,,,,,,
Plasmid Mix,A1,YT Deepwell,G2,7,,15,,,,,,,,,,,,
Plasmid Mix,A2,YT Deepwell,H2,7,,16,,,,,,,,,,,,
Plasmid Mix,A3,YT Deepwell,A3,7,,17,,,,,,,,,,,,
Plasmid Mix,A4,YT Deepwell,B3,7,,18,,,,,,,,,,,,
Plasmid Mix,A5,YT Deepwell,C3,7,,19,,,,,,,,,,,,
Plasmid Mix,A6,YT Deepwell,D3,7,,20,,,,,,,,,,,,
Plasmid Mix,A7,YT Deepwell,E3,7,,21,,,,,,,,,,,,
Plasmid Mix,A4,YT Deepwell,F3,7,,22,,,,,,,,,,,,
Plasmid Mix,A5,YT Deepwell,G3,7,,23,,,,,,,,,,,,
Plasmid Mix,A6,YT Deepwell,H3,7,,24,,,,,,,,,,,,
Plasmid Mix,A7,YT Deepwell,A4,7,,25,,,,,,,,,,,,
Plasmid Mix,A5,YT Deepwell,B4,7,,26,,,, ,,,,,,,,
Plasmid Mix,A6,YT Deepwell,C4,7,,27,,,,,,,,,,,,
Plasmid Mix,A7,YT Deepwell,D4,7,,28,,,,,,,,,,,,
Plasmid Mix,A6,YT Deepwell,E4,7,,29,,,,,,,,,,,,
Plasmid Mix,A7,YT Deepwell,F4,7,,30,,,,,,,,,,,,
